startTime	endTime	startLong	startLat	endLong	endLat	startX	startY	endX	endY	continuedTime	trans_pattern	fileName
1543671254.0	1543672293.0	113.9741842	22.62133294	113.9551827	22.58309955	497292.75	2502659.75	495338.0	2498426.5	1038	5.0	wk_1201.txt
1543672294.0	1543672668.0	113.9551926	22.58309724	113.9551576	22.58313448	495339.0313	2498426.25	495335.4375	2498430.25	374	1.0	wk_1201.txt
1543672669.0	1543673896.0	113.9551576	22.58313448	113.92871809999998	22.52665498	495335.4375	2498430.25	492613.5625	2492177.0	1225	5.0	wk_1201.txt
1543673897.0	1543673950.0	113.9287098	22.52667346	113.9288044	22.52667407	492612.6875	2492179.0	492622.4375	2492179.0	54	2.0	wk_1201.txt
1543673951.0	1543674370.0	113.9288084	22.52667084	113.9286503	22.52668598	492622.8438	2492178.75	492606.5938	2492180.5	419	1.0	wk_1201.txt
1543674371.0	1543674822.0	113.92865729999998	22.52668693	113.9333931	22.52645664	492607.3125	2492180.5	493094.5	2492154.75	452	2.0	wk_1201.txt
1543674823.0	1543677334.0	113.9333873	22.52645904	113.9332205	22.5266497	493093.9063	2492155.0	493076.75	2492176.25	2493	1.0	wk_1201.txt
1523068078.0	1523074998.0	113.9370717	22.53531982	113.9367445	22.53547987	493473.3438	2493136.0	493439.6875	2493153.75	2647	1.0	zth_407_1.txt
1523074999.0	1523075265.0	113.936697	22.53538167	113.9383846	22.53393853	493434.8125	2493143.0	493608.3438	2492983.0	267	2.0	zth_407_1.txt
1523075266.0	1523076154.0	113.9383846	22.53393853	113.9383846	22.53393853	493608.3438	2492983.0	493608.3438	2492983.0	886	1.0	zth_407_1.txt
1523076155.0	1523076512.0	113.9383846	22.53393853	113.9364437	22.53493652	493608.3438	2492983.0	493408.7188	2493093.75	356	2.0	zth_407_1.txt
1523076513.0	1523076592.0	113.9364437	22.53493652	113.9364437	22.53493652	493408.7188	2493093.75	493408.7188	2493093.75	80	1.0	zth_407_1.txt
1510187444.0	1510187765.0	113.932893	22.526744	113.93087	22.52795	493043.0582	2492186.633	492835.0027	2492320.276	321	2.0	Newlhj_1109_2.txt
1510187766.0	1510188245.0	113.93087	22.52795	113.93087	22.52806	492835.0027	2492320.276	492835.0084	2492332.457	478	1.0	Newlhj_1109_2.txt
1510188246.0	1510188864.0	113.930789	22.527852	113.937261	22.534814	492826.6648	2492309.4280000003	493492.7953	2493080.082	594	2.0	Newlhj_1109_2.txt
1510188865.0	1510188871.0	113.937261	22.534814	113.93661000000002	22.535176	493366.5957	2493110.401	493383.5013	2493112.845	7	8.0	Newlhj_1109_2.txt
1510188872.0	1510198467.0	113.93661000000002	22.535176	113.936682	22.535239	493383.2602	2493112.694	493381.3863	2493111.184	9580	7.0	Newlhj_1109_2.txt
1510198468.0	1510198482.0	113.936682	22.535239	113.936682	22.535239	493381.443	2493110.669	493386.0946	2493118.301	15	8.0	Newlhj_1109_2.txt
1510198483.0	1510198615.0	113.936682	22.535239	113.936634	22.534866	493433.2538	2493127.17	493428.2985	2493085.867	131	1.0	Newlhj_1109_2.txt
1510198617.0	1510198864.0	113.936634	22.534866	113.9384087	22.5340408	493428.2985	2493085.867	493610.8281	2492994.411	240	2.0	Newlhj_1109_2.txt
1510198865.0	1510200259.0	113.938467	22.533961	113.938804	22.533978	493616.8171	2492985.571	493651.4852	2492987.44	1391	1.0	Newlhj_1109_2.txt
1510200261.0	1510200601.0	113.9391808	22.53424995	113.9365267	22.53532959	493690.2562	2493017.538	493417.2817	2493137.208	321	2.0	Newlhj_1109_2.txt
