Time	Long	Lat	X	Y	Ax	Ay	Az	time	A1	A2	A3	A4	A5
1510297899	113.93636799999999	22.535014	380	448	-0.3780995	0.5186207	-9.622114	2017/11/10 15:11	493400.9375	2493102.25	493380.8450934473	2493147.433568656	3
1510297900	113.93636799999999	22.535014	380	448	-0.37593642	0.52015185	-9.626757000000001	2017/11/10 15:11	493400.9375	2493102.25	493380.8682085339	2493147.456686101	3
1510297901	113.93636799999999	22.535014	380	448	-0.37743866	0.5178984999999999	-9.616430000000001	2017/11/10 15:11	493400.9375	2493102.25	493380.92758682865	2493147.5160665293	3
1510297902	113.93636799999999	22.535014	380	448	-0.38344043	0.5195416	-9.621929	2017/11/10 15:11	493400.9375	2493102.25	493380.9835548929	2493147.572036525	3
1510297903	113.93636799999999	22.535014	380	448	-0.38156983	0.51996404	-9.626756	2017/11/10 15:11	493400.9375	2493102.25	493380.93924341147	2493147.5277267904	3
1510297904	113.93636799999999	22.535014	380	448	-0.37800202	0.52015185	-9.618682000000002	2017/11/10 15:11	493400.9375	2493102.25	493380.7973800273	2493147.3858649875	3
1510297905	113.93636799999999	22.535014	380	448	-0.37987983	0.51620847	-9.619432000000002	2017/11/10 15:11	493400.9375	2493102.25	493380.81021622027	2493147.398702611	3
1510297906	113.93636799999999	22.535014	380	448	-0.3769945	0.513464	-9.623955	2017/11/10 15:11	493400.9375	2493102.25	493380.975412622	2493147.5639003073	3
1510297907	113.93636799999999	22.535014	380	448	-0.3800676	0.5128284000000001	-9.626192	2017/11/10 15:11	493400.9375	2493102.25	493381.0099950012	2493147.598483858	3
1510297908	113.93636799999999	22.535014	380	448	-0.3821332	0.51921296	-9.61887	2017/11/10 15:11	493400.9375	2493102.25	493380.90891002235	2493147.497399939	3
1510297909	113.93636799999999	22.535014	380	448	-0.38546628	0.51843655	-9.621375	2017/11/10 15:11	493400.9375	2493102.25	493380.76529673423	2493147.3537876103	3
1510297910	113.93636799999999	22.535014	380	448	-0.38419876	0.52090305	-9.627319	2017/11/10 15:11	493400.9375	2493102.25	493380.80618045357	2493147.3946721973	3
1510297911	113.93636799999999	22.535014	380	448	-0.37574866	0.5203396	-9.624127	2017/11/10 15:11	493400.9375	2493102.25	493380.73221639474	2493147.320708924	3
1510297912	113.93636799999999	22.535014	380	448	-0.3858888	0.5235319	-9.623750999999999	2017/11/10 15:11	493400.9375	2493102.25	493380.6429245774	2493147.2314178175	3
1510297913	113.93636799999999	22.535014	380	448	-0.38307208	0.52009416	-9.624139999999999	2017/11/10 15:11	493400.9375	2493102.25	493380.7366067307	2493147.3251006138	3
